country,year,PIB,population,IDH,unemployment,gdp_pc,log_gdp_pc,gdp_growth,unemployment.1,poverty
Ecuador,2023,121147057000.0,17980034.0,0.777,3.51,6737.865846082383,8.815498513718184,4.317403990201907,,
El Salvador,2001,12282533600.0,5968013.0,0.6123,6.96,2058.060798460057,7.629519458455222,4.222392471699243,,
El Salvador,2002,12664190300.0,5986577.0,0.6176,6.2,2115.430954951385,7.657013831930212,3.107312484779201,,
El Salvador,2003,13243892200.0,5998548.0,0.6229,6.9,2207.849666285908,7.699774319157797,4.577488858486278,,
El Salvador,2004,13724810900.0,6004632.0,0.6282,6.8,2285.703919907165,7.734429317115707,3.6312489767924783,,
El Salvador,2005,14698000000.0,6005527.0,0.6335,7.22,2447.4121921356777,7.802786497207737,7.090728659875389,,
El Salvador,2006,15999890000.0,6002275.0,0.6388,6.57,2665.6376124052963,7.888198562169078,8.857599673424964,,
El Salvador,2007,17011750000.0,6009768.0,0.6441,6.41,2830.6833142310984,7.948273415283915,6.324168478658288,,
El Salvador,2008,17986890000.0,6029245.0,0.6494,5.88,2983.274025188892,8.000776642578233,5.732155715902243,,
El Salvador,2009,17601620000.0,6048234.0,0.6547000000000001,7.33,2910.2081698558623,7.9759798936399005,-2.141948941701433,,
El Salvador,2010,18447920000.0,6068202.0,0.66,4.893,3040.0965557837394,8.01964455566684,4.808080165348416,,
El Salvador,2011,20283780000.0,6090075.0,0.6614,4.297,3330.6289331412177,8.110916433952198,9.951582617444132,,
El Salvador,2012,21386150000.0,6113926.0,0.6628000000000001,3.843,3497.940603141092,8.159929675200274,5.4347365234685086,,
El Salvador,2013,21990960000.0,6138797.0,0.6642,3.693,3582.291448959788,8.183757944179446,2.82804525358702,,
El Salvador,2014,22593470000.0,6162903.0,0.6656000000000001,4.154,3666.043421420068,8.2068682726885,2.7398076300443552,,
El Salvador,2015,23438240000.0,6183621.0,0.667,3.998,3790.374604135668,8.240220133333445,3.739000693563233,,
El Salvador,2016,24191430000.0,6200765.0,0.6656000000000001,4.418,3901.362170635397,8.269081045657488,3.213509205469345,,
El Salvador,2017,24979190000.0,6213485.0,0.6642,4.385,4020.157769754011,8.29907642705042,3.256359793530184,,
El Salvador,2018,26020850000.0,6219738.0,0.6628000000000001,4.006,4183.592620782419,8.3389256350346,4.170111200563342,,
El Salvador,2019,26881140000.0,6222267.0,0.6614,4.17,4320.152124619532,8.371045894650456,3.306156409187256,,
El Salvador,2020,24921190000.0,6234631.0,0.66,5.008,3997.2197231881087,8.293354329226464,-7.291171430973542,,
El Salvador,2021,29043140000.0,6255737.0,0.663,4.327,4642.640827131959,8.443038627097847,16.539940508458862,,
